second,idle_count,walking_count,total_count,light,red_violation,bus_waiting
363,0,0,0,unknown,False,False
364,0,0,0,unknown,False,False
365,0,0,0,unknown,False,False
366,1,0,1,red,False,False
367,1,0,1,unknown,False,False
368,1,0,1,unknown,False,False
369,1,0,1,unknown,False,False
370,1,0,1,unknown,False,False
371,0,0,0,unknown,False,False
372,0,0,0,unknown,False,False
373,0,0,0,unknown,False,False
374,1,0,1,unknown,False,False
375,0,1,1,unknown,False,False
376,1,0,1,unknown,False,False
377,0,0,0,unknown,False,False
378,0,0,0,unknown,False,False
379,0,0,0,unknown,False,False
380,0,0,0,yellow,False,False
381,0,0,0,red,False,True
382,0,0,0,yellow,False,True
383,0,0,0,unknown,False,True
384,0,0,0,unknown,False,False
385,0,0,0,unknown,False,False
386,0,0,0,unknown,False,False
387,0,0,0,unknown,False,False
388,0,0,0,unknown,False,False
389,0,0,0,unknown,False,False
390,0,0,0,unknown,False,False
391,0,0,0,unknown,False,False
392,0,0,0,unknown,False,False
393,0,0,0,unknown,False,False
394,0,0,0,unknown,False,False
395,1,0,1,unknown,False,False
396,1,0,1,unknown,False,False
397,0,0,0,unknown,False,False
398,0,0,0,unknown,False,False
399,0,0,0,unknown,False,False
400,0,0,0,unknown,False,False
401,0,0,0,unknown,False,False
402,0,0,0,unknown,False,False
403,0,0,0,unknown,False,False
404,0,0,0,unknown,False,False
405,0,0,0,unknown,False,False
406,0,0,0,unknown,False,True
407,0,0,0,unknown,False,True
408,0,0,0,unknown,False,False
409,0,0,0,unknown,False,False
410,0,0,0,unknown,False,False
411,0,0,0,unknown,False,False
412,0,0,0,unknown,False,False
413,0,0,0,unknown,False,False
414,0,0,0,unknown,False,False
415,0,0,0,unknown,False,False
416,0,0,0,unknown,False,False
417,0,0,0,unknown,False,False
418,0,0,0,unknown,False,False
419,0,0,0,unknown,False,False
420,0,0,0,unknown,False,False
421,0,0,0,unknown,False,False
422,0,0,0,unknown,False,False
423,0,0,0,red,False,False
424,0,0,0,unknown,False,False
425,0,0,0,unknown,False,False
426,0,0,0,unknown,False,False
427,1,0,1,unknown,False,False
428,1,1,2,unknown,False,False
429,1,0,1,unknown,False,False
430,0,0,0,unknown,False,False
431,0,0,0,unknown,False,False
432,0,0,0,unknown,False,False
433,0,0,0,unknown,False,False
434,0,0,0,unknown,False,False
435,0,0,0,unknown,False,False
436,0,0,0,unknown,False,False
437,0,0,0,unknown,False,False
438,0,0,0,unknown,False,False
439,0,0,0,unknown,False,False
440,0,0,0,unknown,False,False
441,0,0,0,unknown,False,False
442,0,0,0,unknown,False,False
443,0,0,0,unknown,False,False
444,0,0,0,unknown,False,False
445,0,0,0,unknown,False,False
446,0,0,0,unknown,False,False
447,0,0,0,unknown,False,False
448,0,0,0,unknown,False,False
449,0,0,0,unknown,False,False
450,0,0,0,unknown,False,False
451,0,0,0,unknown,False,False
452,0,0,0,unknown,False,False
453,0,0,0,unknown,False,False
454,0,0,0,unknown,False,False
455,0,0,0,unknown,False,False
456,0,0,0,unknown,False,False
457,0,0,0,unknown,False,False
458,0,0,0,unknown,False,False
459,0,0,0,unknown,False,False
460,0,0,0,unknown,False,False
461,0,0,0,unknown,False,False
462,0,0,0,unknown,False,False
463,0,0,0,unknown,False,False
464,0,0,0,unknown,False,False
465,0,0,0,unknown,False,False
466,0,0,0,unknown,False,False
467,0,0,0,unknown,False,False
468,0,0,0,unknown,False,False
469,0,0,0,unknown,False,False
470,0,0,0,unknown,False,False
471,0,0,0,unknown,False,False
472,0,0,0,unknown,False,False
473,0,0,0,unknown,False,False
474,0,0,0,unknown,False,False
475,0,0,0,unknown,False,False
476,0,0,0,unknown,False,False
477,0,0,0,unknown,False,False
478,0,0,0,unknown,False,False
479,0,0,0,unknown,False,False
480,0,0,0,unknown,False,False
481,0,0,0,unknown,False,False
482,0,0,0,unknown,False,False
483,0,0,0,unknown,False,False
484,0,0,0,unknown,False,False
485,0,0,0,unknown,False,False
486,0,0,0,unknown,False,False
487,0,0,0,unknown,False,False
488,0,0,0,unknown,False,False
489,0,0,0,unknown,False,False
490,0,0,0,unknown,False,False
491,0,0,0,unknown,False,False
492,0,0,0,unknown,False,False
493,0,0,0,unknown,False,False
494,0,0,0,unknown,False,False
495,1,0,1,unknown,False,False
496,1,0,1,unknown,False,False
497,0,0,0,unknown,False,False
498,0,0,0,unknown,False,False
499,1,0,1,unknown,False,False
500,1,0,1,unknown,False,False
501,0,0,0,unknown,False,False
502,0,0,0,unknown,False,False
503,0,0,0,unknown,False,False
504,0,0,0,unknown,False,False
505,1,0,1,unknown,False,False
506,2,0,2,unknown,False,False
507,1,0,1,unknown,False,False
508,1,0,1,unknown,False,False
509,0,0,0,unknown,False,False
510,0,0,0,unknown,False,False
511,0,0,0,unknown,False,False
512,0,0,0,unknown,False,False
