second,human_count,light,red_violation,bus_waiting
238,0.0,unknown,False,False
239,0.6206896551724138,unknown,False,False
240,0.6551724137931034,unknown,False,False
241,0.0,unknown,False,False
242,0.13793103448275862,green,False,False
243,0.0,red,False,False
244,0.13793103448275862,red,False,False
245,0.10344827586206896,unknown,False,False
246,0.13793103448275862,unknown,False,False
247,0.0,unknown,False,False
248,0.034482758620689655,unknown,False,False
249,0.3793103448275862,unknown,False,False
250,0.896551724137931,unknown,False,False
251,0.3103448275862069,unknown,False,False
252,0.8275862068965517,unknown,False,False
253,1.4827586206896552,unknown,False,False
254,2.0,unknown,False,False
255,2.793103448275862,unknown,False,False
256,2.4482758620689653,red,False,True
257,2.0344827586206895,unknown,False,True
258,2.4827586206896552,yellow,False,False
259,3.586206896551724,red,True,True
260,4.0344827586206895,unknown,False,False
261,1.5862068965517242,unknown,False,False
262,0.1724137931034483,unknown,False,False
263,1.793103448275862,unknown,False,False
264,2.1724137931034484,unknown,False,False
265,0.3103448275862069,unknown,False,False
266,0.10344827586206896,unknown,False,False
267,0.4482758620689655,unknown,False,False
268,0.4482758620689655,unknown,False,False
269,0.13793103448275862,unknown,False,False
270,0.3103448275862069,unknown,False,False
271,0.5862068965517241,red,False,False
272,1.7241379310344827,unknown,False,False
273,1.103448275862069,unknown,False,False
274,0.7586206896551724,unknown,False,False
275,0.7586206896551724,unknown,False,False
276,0.1724137931034483,unknown,False,False
277,0.1724137931034483,unknown,False,False
278,1.7241379310344827,unknown,False,False
279,4.206896551724138,unknown,False,False
280,0.4482758620689655,unknown,False,False
281,0.27586206896551724,unknown,False,False
282,1.206896551724138,unknown,False,False
283,2.0,unknown,False,True
284,1.896551724137931,unknown,False,False
285,1.0,red,False,True
286,0.10344827586206896,unknown,False,True
287,0.06896551724137931,red,False,True
288,0.8620689655172413,green,False,False
289,2.2758620689655173,unknown,False,False
290,2.0344827586206895,unknown,False,False
291,0.5517241379310345,unknown,False,False
292,0.10344827586206896,unknown,False,False
293,0.0,unknown,False,False
294,0.034482758620689655,unknown,False,False
295,0.5862068965517241,unknown,False,False
296,1.1724137931034482,unknown,False,False
297,1.0,unknown,False,False
298,0.8620689655172413,unknown,False,False
299,1.3793103448275863,unknown,False,False
300,1.1379310344827587,unknown,False,False
301,1.5862068965517242,red,False,True
302,0.896551724137931,red,False,True
303,2.103448275862069,red,False,False
304,1.2758620689655173,unknown,False,False
305,1.0689655172413792,unknown,False,False
306,1.7241379310344827,unknown,False,False
307,1.8620689655172413,unknown,False,False
308,0.2413793103448276,unknown,False,False
309,0.0,unknown,False,False
310,0.0,unknown,False,False
311,0.034482758620689655,unknown,False,False
312,0.06896551724137931,unknown,False,False
313,0.3103448275862069,unknown,False,False
314,1.0344827586206897,unknown,False,False
315,3.1379310344827585,red,True,False
316,3.793103448275862,green,True,False
317,3.310344827586207,unknown,True,False
318,1.5172413793103448,unknown,False,False
319,2.1379310344827585,unknown,False,False
320,3.2758620689655173,unknown,False,False
321,0.9310344827586207,unknown,False,False
322,1.1724137931034482,unknown,False,False
323,0.27586206896551724,unknown,False,False
324,0.06896551724137931,unknown,False,False
325,0.10344827586206896,unknown,False,False
326,0.0,unknown,False,False
327,0.5517241379310345,unknown,False,False
328,1.0,unknown,False,False
329,0.5172413793103449,unknown,False,False
330,0.6551724137931034,unknown,False,False
331,0.3103448275862069,green,False,False
332,0.4482758620689655,unknown,False,False
333,0.3793103448275862,red,False,False
334,0.13793103448275862,red,False,False
335,0.0,red,False,False
336,0.06896551724137931,red,False,False
337,0.1724137931034483,unknown,False,False
338,0.0,unknown,False,False
339,0.10344827586206896,unknown,False,False
340,0.0,unknown,False,False
341,0.034482758620689655,unknown,False,False
342,0.0,unknown,False,False
343,0.0,unknown,False,False
344,1.2758620689655173,unknown,False,False
345,1.206896551724138,unknown,False,False
346,0.1724137931034483,unknown,False,False
347,0.0,yellow,False,False
348,0.034482758620689655,unknown,False,False
349,0.0,unknown,False,False
350,0.034482758620689655,unknown,False,False
351,0.034482758620689655,red,False,False
352,0.2413793103448276,red,False,False
353,0.0,unknown,False,False
354,0.27586206896551724,unknown,False,False
355,1.0,unknown,False,False
356,1.0344827586206897,unknown,False,False
357,0.2413793103448276,unknown,False,False
358,0.034482758620689655,unknown,False,False
359,0.034482758620689655,unknown,False,False
360,0.0,unknown,False,False
361,0.0,unknown,False,False
362,0.13793103448275862,unknown,False,False
363,0.1724137931034483,unknown,False,False
364,0.0,unknown,False,False
365,0.0,unknown,False,False
366,0.8275862068965517,red,False,False
367,1.0,unknown,False,False
368,0.8620689655172413,unknown,False,False
369,0.5517241379310345,unknown,False,False
370,0.13793103448275862,unknown,False,False
371,0.1724137931034483,unknown,False,False
372,0.034482758620689655,unknown,False,False
373,0.0,unknown,False,False
374,0.5862068965517241,unknown,False,False
375,0.6551724137931034,unknown,False,False
376,0.4827586206896552,unknown,False,False
377,0.0,unknown,False,False
378,0.034482758620689655,unknown,False,False
379,0.13793103448275862,unknown,False,False
380,0.06896551724137931,yellow,False,False
381,0.10344827586206896,red,False,True
382,0.1724137931034483,yellow,False,True
383,0.0,unknown,False,True
384,0.27586206896551724,unknown,False,False
385,0.27586206896551724,unknown,False,False
386,0.4827586206896552,unknown,False,False
387,0.27586206896551724,unknown,False,False
388,0.034482758620689655,unknown,False,False
389,0.3793103448275862,unknown,False,False
390,0.5172413793103449,unknown,False,False
391,0.0,unknown,False,False
392,0.034482758620689655,unknown,False,False
393,0.0,unknown,False,False
394,0.4827586206896552,unknown,False,False
395,0.6551724137931034,unknown,False,False
396,0.034482758620689655,unknown,False,False
397,0.0,unknown,False,False
398,0.0,unknown,False,False
399,0.0,unknown,False,False
400,0.0,unknown,False,False
401,0.0,unknown,False,False
402,0.0,unknown,False,False
403,0.0,unknown,False,False
404,0.1724137931034483,unknown,False,False
405,0.1724137931034483,unknown,False,False
406,0.1724137931034483,unknown,False,True
407,0.3103448275862069,unknown,False,True
408,0.034482758620689655,unknown,False,False
409,0.034482758620689655,unknown,False,False
410,0.0,unknown,False,False
411,0.034482758620689655,unknown,False,False
412,0.0,unknown,False,False
413,0.0,unknown,False,False
414,0.034482758620689655,unknown,False,False
415,0.0,unknown,False,False
416,0.06896551724137931,unknown,False,False
417,0.0,unknown,False,False
418,0.10344827586206896,unknown,False,False
419,0.0,unknown,False,False
420,0.9310344827586207,unknown,False,False
421,0.10344827586206896,unknown,False,False
422,0.20689655172413793,unknown,False,False
423,0.27586206896551724,red,False,False
424,0.13793103448275862,unknown,False,False
425,0.0,unknown,False,False
426,0.20689655172413793,unknown,False,False
427,1.206896551724138,unknown,False,False
428,0.9655172413793104,unknown,False,False
429,0.20689655172413793,unknown,False,False
430,0.0,unknown,False,False
431,0.13793103448275862,unknown,False,False
432,0.0,unknown,False,False
433,0.10344827586206896,unknown,False,False
434,0.06896551724137931,unknown,False,False
435,0.10344827586206896,unknown,False,False
436,0.0,unknown,False,False
437,0.0,unknown,False,False
438,0.0,unknown,False,False
439,0.0,unknown,False,False
440,0.06896551724137931,unknown,False,False
441,0.0,unknown,False,False
442,0.10344827586206896,unknown,False,False
443,0.0,unknown,False,False
444,0.0,unknown,False,False
445,0.0,unknown,False,False
446,0.27586206896551724,unknown,False,False
447,0.4482758620689655,unknown,False,False
448,0.0,unknown,False,False
449,0.0,unknown,False,False
450,0.0,unknown,False,False
451,0.034482758620689655,unknown,False,False
452,0.0,unknown,False,False
453,0.0,unknown,False,False
454,0.034482758620689655,unknown,False,False
455,0.034482758620689655,unknown,False,False
456,0.13793103448275862,unknown,False,False
457,0.0,unknown,False,False
458,0.0,unknown,False,False
459,0.034482758620689655,unknown,False,False
460,0.0,unknown,False,False
461,0.0,unknown,False,False
462,0.0,unknown,False,False
463,0.0,unknown,False,False
464,0.0,unknown,False,False
465,0.0,unknown,False,False
466,0.0,unknown,False,False
467,0.0,unknown,False,False
468,0.0,unknown,False,False
469,0.0,unknown,False,False
470,0.0,unknown,False,False
471,0.0,unknown,False,False
472,0.0,unknown,False,False
473,0.0,unknown,False,False
474,0.0,unknown,False,False
475,0.0,unknown,False,False
476,0.0,unknown,False,False
477,0.0,unknown,False,False
478,0.0,unknown,False,False
479,0.0,unknown,False,False
480,0.0,unknown,False,False
481,0.0,unknown,False,False
482,0.0,unknown,False,False
483,0.0,unknown,False,False
484,0.034482758620689655,unknown,False,False
485,0.0,unknown,False,False
486,0.0,unknown,False,False
487,0.0,unknown,False,False
488,0.0,unknown,False,False
489,0.3103448275862069,unknown,False,False
490,0.7241379310344828,unknown,False,False
491,0.10344827586206896,unknown,False,False
492,0.5172413793103449,unknown,False,False
493,0.10344827586206896,unknown,False,False
494,0.5862068965517241,unknown,False,False
495,0.9655172413793104,unknown,False,False
496,0.4482758620689655,unknown,False,False
497,0.06896551724137931,unknown,False,False
498,0.0,unknown,False,False
499,0.9310344827586207,unknown,False,False
500,0.0,unknown,False,False
501,0.06896551724137931,unknown,False,False
502,0.6551724137931034,unknown,False,False
503,1.0344827586206897,unknown,False,False
504,0.1724137931034483,unknown,False,False
505,1.2413793103448276,unknown,False,False
506,0.6896551724137931,unknown,False,False
507,0.9310344827586207,unknown,False,False
508,0.0,unknown,False,False
509,0.41379310344827586,unknown,False,False
510,0.0,unknown,False,False
511,0.4827586206896552,unknown,False,False
512,0.3103448275862069,unknown,False,False
